PlotID,LineNo,HorizontalDist
FR01,1,50
FR01,2,50
FR02,1,49.64384192
FR02,2,49.91024227
FR03,1,49.97751518
FR03,2,49.75185951
FR04,1,50
FR04,2,49.96004794
FR05,1,50
FR05,2,47.94788867
FR06,1,49.2091662
FR06,2,50
FR07,1,49.75185951
FR07,2,49.93761694
FR08,1,49.64384192
FR08,2,49.02903378
FR09,1,48.27390172
FR09,2,49.75185951
FR10,1,50
FR10,2,50
FR11,1,49.64384192
FR11,2,49.7002178
FR12,1,50
FR12,2,50
FR13,1,49.77074518
FR13,2,49.97192812
FR14,1,48.83222334
FR14,2,50
FR15,1,49.97751518
FR15,2,46.09910528
FR16,1,49.8379093
FR16,2,49.79872194
FR17,1,50
FR17,2,50
FR18,1,50
FR18,2,50
FR19,1,49.64384192
FR19,2,50
FR20,1,47.19291782
FR20,2,48.80605662
FR21,1,49.44681764
FR21,2,49.87794836
FR22,1,49.87794836
FR22,2,50
FR23,1,50
FR23,2,49.91024227
FR24,1,48.6193651
FR24,2,48.67237792
FR25,1,50
FR25,2,50
FR26,1,50
FR26,2,50
FR27,1,50
FR27,2,50
FR28,1,49.93961658
FR28,2,49.98389776
FR29,1,50
FR29,2,50
FR30,1,50
FR30,2,48.39112534
FR31,1,50
FR31,2,49.79872194
FR32,1,49.97751518
FR32,2,49.96815279
FR33,1,50
FR33,2,49.05698841
FR34,1,50
FR34,2,50
FR35,1,49.80813939
FR35,2,49.95882718
FR36,1,50
FR36,2,50
FR37,1,50
FR37,2,50
FR38,1,49.87794836
FR38,2,49.2091662
FR39,1,50
FR39,2,50
FR40,1,47.33863724
FR40,2,49.75185951
FR41,1,49.990003
FR41,2,50
FR42,1,50
FR42,2,49.44681764
FR43,1,49.64384192
FR43,2,49.44681764
FR44,1,50
FR44,2,49.64384192
FR45,1,47.62120736
FR45,2,50
FR46,1,49.93761694
FR46,2,48.75355184
FR47,1,50
FR47,2,50
FR48,1,50
FR48,2,50
FR49,1,50
FR49,2,49.02903378
FR50,1,49.75185951
FR50,2,49.75185951
FR51,1,50
FR51,2,50
FR52,1,47.5249949
FR52,2,47.19291782
FR53,1,49.97751518
FR53,2,49.97751518
FR54,1,50
FR54,2,49.990003
FR55,1,49.29279233
FR55,2,48.22297795
FR56,1,50
FR56,2,50
FR57,1,50
FR57,2,50
FR58,1,50
FR58,2,49.98089167
FR59,1,49.51708733
FR59,2,49.75185951
FR60,1,49.44681764
FR60,2,50
FR61,1,50
FR61,2,49.58278087
FR62,1,49.97751518
FR62,2,50
FR63,1,49.87794836
FR63,2,49.58278087
FR64,1,50
FR64,2,50
FR65,1,49.54665784
FR65,2,50
FR66,1,49.90706004
FR66,2,49.93761694
FR67,1,49.4419295
FR67,2,49.79633742
FR68,1,49.44681764
FR68,2,48.83222334
FR69,1,50
FR69,2,50
FR70,1,50
FR70,2,50
FR71,1,47.19291782
FR71,2,48.83222334
FR72,1,50
FR72,2,50
FR73,1,45.55233947
FR73,2,44.178645
FR74,1,50
FR74,2,49.87794836
FR75,1,47.19291782
FR75,2,48.83222334
