"ID","soilClass"
"FR01","CLS"
"FR02","CL"
"FR03","FS"
"FR04","CL"
"FR05","CL"
"FR06","CL"
"FR07","CL"
"FR08","CL"
"FR09","CL"
"FR10","FS"
"FR11","FS"
"FR12","CL"
"FR13","CL"
"FR14","CL"
"FR15","CL"
"FR16","FS"
"FR17","F"
"FR18","CL"
"FR19","FLS"
"FR20","CLS"
"FR21","F"
"FR22","CL"
"FR23","F"
"FR24","CL"
"FR25","CL"
"FR26","FS"
"FR27","CL"
"FR28","FS"
"FR29","CL"
"FR30","FS"
"FR31","CL"
"FR32","CL"
"FR33","CLS"
"FR34","FS"
"FR35","CLS"
"FR36","CL"
"FR37","CL"
"FR38","CL"
"FR39","CL"
"FR40","CL"
"FR41","CL"
"FR42","CL"
"FR43","CL"
"FR44","FS"
"FR45","CLS"
"FR46","CL"
"FR47","CL"
"FR48","CL"
"FR49","CL"
"FR50","CLS"
"FR51","CL"
"FR52","CL"
"FR53","CL"
"FR54","FS"
"FR55","CL"
"FR56","CL"
"FR57","CL"
"FR58","FLS"
"FR59","CL"
"FR60","FS"
"FR61","CL"
"FR62","CL"
"FR63",NA
"FR64","CL"
"FR65","CL"
"FR66","CL"
"FR67","CL"
"FR68","CL"
"FR69","CS"
"FR70","CL"
"FR71","CL"
"FR72","CL"
"FR73","CL"
"FR74","CL"
"FR75","CL"
